"Path","Filename","UTFCodes","Characters"
"glb_flat/emoji_u1f317.glb","emoji_u1f317.glb","1f317","🌗"
"glb_flat/emoji_u1f318.glb","emoji_u1f318.glb","1f318","🌘"
"glb_flat/emoji_u1f319.glb","emoji_u1f319.glb","1f319","🌙"
"glb_flat/emoji_u1f31a.glb","emoji_u1f31a.glb","1f31a","🌚"
"glb_flat/emoji_u1f31b.glb","emoji_u1f31b.glb","1f31b","🌛"
"glb_flat/emoji_u1f31c.glb","emoji_u1f31c.glb","1f31c","🌜"
"glb_flat/emoji_u1f31d.glb","emoji_u1f31d.glb","1f31d","🌝"
"glb_flat/emoji_u1f31e.glb","emoji_u1f31e.glb","1f31e","🌞"
"glb_flat/emoji_u1f31f.glb","emoji_u1f31f.glb","1f31f","🌟"
"glb_flat/emoji_u1f320.glb","emoji_u1f320.glb","1f320","🌠"
"glb_flat/emoji_u1f321.glb","emoji_u1f321.glb","1f321","🌡"
"glb_flat/emoji_u1f324.glb","emoji_u1f324.glb","1f324","🌤"
"glb_flat/emoji_u1f325.glb","emoji_u1f325.glb","1f325","🌥"
"glb_flat/emoji_u1f326.glb","emoji_u1f326.glb","1f326","🌦"
"glb_flat/emoji_u1f327.glb","emoji_u1f327.glb","1f327","🌧"
"glb_flat/emoji_u1f328.glb","emoji_u1f328.glb","1f328","🌨"
"glb_flat/emoji_u1f329.glb","emoji_u1f329.glb","1f329","🌩"
"glb_flat/emoji_u1f32a.glb","emoji_u1f32a.glb","1f32a","🌪"
"glb_flat/emoji_u1f32b.glb","emoji_u1f32b.glb","1f32b","🌫"
"glb_flat/emoji_u1f32c.glb","emoji_u1f32c.glb","1f32c","🌬"
"glb_flat/emoji_u1f32d.glb","emoji_u1f32d.glb","1f32d","🌭"
"glb_flat/emoji_u1f32e.glb","emoji_u1f32e.glb","1f32e","🌮"
"glb_flat/emoji_u1f32f.glb","emoji_u1f32f.glb","1f32f","🌯"
"glb_flat/emoji_u1f330.glb","emoji_u1f330.glb","1f330","🌰"
"glb_flat/emoji_u1f331.glb","emoji_u1f331.glb","1f331","🌱"
"glb_flat/emoji_u1f332.glb","emoji_u1f332.glb","1f332","🌲"
"glb_flat/emoji_u1f333.glb","emoji_u1f333.glb","1f333","🌳"
"glb_flat/emoji_u1f334.glb","emoji_u1f334.glb","1f334","🌴"
"glb_flat/emoji_u1f335.glb","emoji_u1f335.glb","1f335","🌵"
"glb_flat/emoji_u1f336.glb","emoji_u1f336.glb","1f336","🌶"
"glb_flat/emoji_u1f337.glb","emoji_u1f337.glb","1f337","🌷"
"glb_flat/emoji_u1f338.glb","emoji_u1f338.glb","1f338","🌸"
"glb_flat/emoji_u1f339.glb","emoji_u1f339.glb","1f339","🌹"
"glb_flat/emoji_u1f33a.glb","emoji_u1f33a.glb","1f33a","🌺"
"glb_flat/emoji_u1f33b.glb","emoji_u1f33b.glb","1f33b","🌻"
"glb_flat/emoji_u1f33c.glb","emoji_u1f33c.glb","1f33c","🌼"
"glb_flat/emoji_u1f33d.glb","emoji_u1f33d.glb","1f33d","🌽"
"glb_flat/emoji_u1f33e.glb","emoji_u1f33e.glb","1f33e","🌾"
"glb_flat/emoji_u1f33f.glb","emoji_u1f33f.glb","1f33f","🌿"
"glb_flat/emoji_u1f340.glb","emoji_u1f340.glb","1f340","🍀"
"glb_flat/emoji_u1f341.glb","emoji_u1f341.glb","1f341","🍁"
"glb_flat/emoji_u1f342.glb","emoji_u1f342.glb","1f342","🍂"
"glb_flat/emoji_u1f343.glb","emoji_u1f343.glb","1f343","🍃"
"glb_flat/emoji_u1f344_200d_1f7eb.glb","emoji_u1f344_200d_1f7eb.glb","1f344;1f7eb","🍄🟫"
"glb_flat/emoji_u1f344.glb","emoji_u1f344.glb","1f344","🍄"
"glb_flat/emoji_u1f345.glb","emoji_u1f345.glb","1f345","🍅"
"glb_flat/emoji_u1f346.glb","emoji_u1f346.glb","1f346","🍆"
"glb_flat/emoji_u1f347.glb","emoji_u1f347.glb","1f347","🍇"
"glb_flat/emoji_u1f348.glb","emoji_u1f348.glb","1f348","🍈"
"glb_flat/emoji_u1f349.glb","emoji_u1f349.glb","1f349","🍉"
"glb_flat/emoji_u1f34a.glb","emoji_u1f34a.glb","1f34a","🍊"
"glb_flat/emoji_u1f34b_200d_1f7e9.glb","emoji_u1f34b_200d_1f7e9.glb","1f34b;1f7e9","🍋🟩"
"glb_flat/emoji_u1f34b.glb","emoji_u1f34b.glb","1f34b","🍋"
"glb_flat/emoji_u1f34c.glb","emoji_u1f34c.glb","1f34c","🍌"
"glb_flat/emoji_u1f34d.glb","emoji_u1f34d.glb","1f34d","🍍"
"glb_flat/emoji_u1f34e.glb","emoji_u1f34e.glb","1f34e","🍎"
"glb_flat/emoji_u1f34f.glb","emoji_u1f34f.glb","1f34f","🍏"
"glb_flat/emoji_u1f350.glb","emoji_u1f350.glb","1f350","🍐"
"glb_flat/emoji_u1f351.glb","emoji_u1f351.glb","1f351","🍑"
"glb_flat/emoji_u1f352.glb","emoji_u1f352.glb","1f352","🍒"
"glb_flat/emoji_u1f353.glb","emoji_u1f353.glb","1f353","🍓"
"glb_flat/emoji_u1f354.glb","emoji_u1f354.glb","1f354","🍔"
"glb_flat/emoji_u1f355.glb","emoji_u1f355.glb","1f355","🍕"
"glb_flat/emoji_u1f356.glb","emoji_u1f356.glb","1f356","🍖"
"glb_flat/emoji_u1f357.glb","emoji_u1f357.glb","1f357","🍗"
"glb_flat/emoji_u1f358.glb","emoji_u1f358.glb","1f358","🍘"
"glb_flat/emoji_u1f359.glb","emoji_u1f359.glb","1f359","🍙"
"glb_flat/emoji_u1f35a.glb","emoji_u1f35a.glb","1f35a","🍚"
"glb_flat/emoji_u1f35b.glb","emoji_u1f35b.glb","1f35b","🍛"
"glb_flat/emoji_u1f35c.glb","emoji_u1f35c.glb","1f35c","🍜"
"glb_flat/emoji_u1f35d.glb","emoji_u1f35d.glb","1f35d","🍝"
"glb_flat/emoji_u1f35e.glb","emoji_u1f35e.glb","1f35e","🍞"
"glb_flat/emoji_u1f35f.glb","emoji_u1f35f.glb","1f35f","🍟"
"glb_flat/emoji_u1f360.glb","emoji_u1f360.glb","1f360","🍠"
"glb_flat/emoji_u1f361.glb","emoji_u1f361.glb","1f361","🍡"
"glb_flat/emoji_u1f362.glb","emoji_u1f362.glb","1f362","🍢"
"glb_flat/emoji_u1f363.glb","emoji_u1f363.glb","1f363","🍣"
"glb_flat/emoji_u1f364.glb","emoji_u1f364.glb","1f364","🍤"
"glb_flat/emoji_u1f365.glb","emoji_u1f365.glb","1f365","🍥"
"glb_flat/emoji_u1f366.glb","emoji_u1f366.glb","1f366","🍦"
"glb_flat/emoji_u1f367.glb","emoji_u1f367.glb","1f367","🍧"
"glb_flat/emoji_u1f368.glb","emoji_u1f368.glb","1f368","🍨"
"glb_flat/emoji_u1f369.glb","emoji_u1f369.glb","1f369","🍩"
